popularity,title,url,year
width:6%;,Pilgrimage Lyrics,http://www.metrolyrics.com/pilgrimage-lyrics-rem.html,2006
width:21.755319103969%;,Pop Song 89 Lyrics,http://www.metrolyrics.com/pop-song-89-lyrics-rem.html,2011
width:13.726078121136%;,Pretty Persuasion Lyrics,http://www.metrolyrics.com/pretty-persuasion-lyrics-rem.html,2006
width:6%;,Psa (a.k.a. Bad Day) Lyrics,http://www.metrolyrics.com/psa-aka-bad-day-lyrics-rem.html,2006
width:50.792524653759%;,Radio Free Europe Lyrics,http://www.metrolyrics.com/radio-free-europe-lyrics-rem.html,2011
width:13.726078121136%;,Radio Song Lyrics,http://www.metrolyrics.com/radio-song-lyrics-rem.html,2014
width:6%;,Revolution Lyrics,http://www.metrolyrics.com/revolution-lyrics-rem.html,2006
width:6%;,Rockville Lyrics,http://www.metrolyrics.com/rockville-lyrics-rem.html,2006
width:6%;,Romance Lyrics,http://www.metrolyrics.com/romance-lyrics-rem.html,2006
width:6%;,Rotary 11 Lyrics,http://www.metrolyrics.com/rotary-11-lyrics-rem.html,2014
width:6%;,Rotary Ten Lyrics,http://www.metrolyrics.com/rotary-ten-lyrics-rem.html,2008
width:6%;,Sad Professor Lyrics,http://www.metrolyrics.com/sad-professor-lyrics-rem.html,2014
width:6%;,Saturn Return Lyrics,http://www.metrolyrics.com/saturn-return-lyrics-rem.html,2006
width:6%;,Second Guessing Lyrics,http://www.metrolyrics.com/second-guessing-lyrics-rem.html,2006
width:6%;,See No Evil Lyrics,http://www.metrolyrics.com/see-no-evil-lyrics-rem.html,2006
width:79.712207337326%;,Selingkar Kasih Lyrics,http://www.metrolyrics.com/selingkar-kasih-lyrics-rem.html,2010
width:6%;,Seven Chinese Brothers Lyrics,http://www.metrolyrics.com/seven-chinese-brothers-lyrics-rem.html,2006
width:31.870966422084%;,Shaking Through Lyrics,http://www.metrolyrics.com/shaking-through-lyrics-rem.html,2006
width:6%;,She Just Wants To Be Lyrics,http://www.metrolyrics.com/she-just-wants-to-be-lyrics-rem.html,2006
width:6%;,Sheherazade Lyrics,http://www.metrolyrics.com/sheherazade-lyrics-rem.html,2006
width:43.510638207939%;,Shiny Happy People Lyrics,http://www.metrolyrics.com/shiny-happy-people-lyrics-rem.html,2011
width:6%;,Sing For The Submarine Lyrics,http://www.metrolyrics.com/sing-for-the-submarine-lyrics-rem.html,2008
width:6%;,Sitting Still Lyrics,http://www.metrolyrics.com/sitting-still-lyrics-rem.html,2011
width:6%;,"So Fast, So Numb Lyrics",http://www.metrolyrics.com/so-fast-so-numb-lyrics-rem.html,2006
width:13.726078121136%;,So. Central Rain Lyrics,http://www.metrolyrics.com/so-central-rain-lyrics-rem.html,2011
width:6%;,So. Central Rain (I'm Sorry) Lyrics,http://www.metrolyrics.com/so-central-rain-im-sorry-lyrics-rem.html,2016
width:6%;,Southern Central Rain Lyrics,http://www.metrolyrics.com/southern-central-rain-im-sorry-lyrics-rem.html,2007
